"","year","state","gender","statistic","gross_income_euros"
"801",2017,"Balears, Illes","female","lower_quartile",13237.67
"802",2016,"Balears, Illes","female","lower_quartile",12354
"803",2015,"Balears, Illes","female","lower_quartile",12454.42
"804",2014,"Balears, Illes","female","lower_quartile",12325
"805",2013,"Balears, Illes","female","lower_quartile",12340.53
"806",2012,"Balears, Illes","female","lower_quartile",12900.79
"807",2011,"Balears, Illes","female","lower_quartile",13029.71
"808",2010,"Balears, Illes","female","lower_quartile",13133.39
"809",2009,"Balears, Illes","female","lower_quartile",12707.4
"810",2008,"Balears, Illes","female","lower_quartile",11853.68
"811",2017,"Balears, Illes","female","median",18113.66
"812",2016,"Balears, Illes","female","median",17582.01
"813",2015,"Balears, Illes","female","median",17370.54
"814",2014,"Balears, Illes","female","median",17133.18
"815",2013,"Balears, Illes","female","median",16887.8
"816",2012,"Balears, Illes","female","median",16999.82
"817",2011,"Balears, Illes","female","median",17358.36
"818",2010,"Balears, Illes","female","median",17240.49
"819",2009,"Balears, Illes","female","median",15889.99
"820",2008,"Balears, Illes","female","median",15385.11
"821",2017,"Balears, Illes","female","upper_quartile",24565.83
"822",2016,"Balears, Illes","female","upper_quartile",24141.58
"823",2015,"Balears, Illes","female","upper_quartile",23614.44
"824",2014,"Balears, Illes","female","upper_quartile",22985.52
"825",2013,"Balears, Illes","female","upper_quartile",22683.47
"826",2012,"Balears, Illes","female","upper_quartile",22465.23
"827",2011,"Balears, Illes","female","upper_quartile",23176.41
"828",2010,"Balears, Illes","female","upper_quartile",24034.08
"829",2009,"Balears, Illes","female","upper_quartile",22117.55
"830",2008,"Balears, Illes","female","upper_quartile",21092.28
"831",2017,"Balears, Illes","female","90th_percentile",35012.21
"832",2016,"Balears, Illes","female","90th_percentile",34027.05
"833",2015,"Balears, Illes","female","90th_percentile",33716.34
"834",2014,"Balears, Illes","female","90th_percentile",32227.97
"835",2013,"Balears, Illes","female","90th_percentile",32370.79
"836",2012,"Balears, Illes","female","90th_percentile",31419.01
"837",2011,"Balears, Illes","female","90th_percentile",32328.96
"838",2010,"Balears, Illes","female","90th_percentile",33381.35
"839",2009,"Balears, Illes","female","90th_percentile",33332.41
"840",2008,"Balears, Illes","female","90th_percentile",31763.18
"841",2017,"Balears, Illes","male","mean",23538.43
"842",2016,"Balears, Illes","male","mean",23286.85
"843",2015,"Balears, Illes","male","mean",23411.35
"844",2014,"Balears, Illes","male","mean",23770.56
"845",2013,"Balears, Illes","male","mean",22584.78
"846",2012,"Balears, Illes","male","mean",22859.04
"847",2011,"Balears, Illes","male","mean",23188.8
"848",2010,"Balears, Illes","male","mean",23213.04
"849",2009,"Balears, Illes","male","mean",23285.93
"850",2008,"Balears, Illes","male","mean",22253.73
"851",2017,"Balears, Illes","male","10th_percentile",11612.11
"852",2016,"Balears, Illes","male","10th_percentile",10226.59
"853",2015,"Balears, Illes","male","10th_percentile",11656.27
"854",2014,"Balears, Illes","male","10th_percentile",10609.1
"855",2013,"Balears, Illes","male","10th_percentile",9249.26
"856",2012,"Balears, Illes","male","10th_percentile",9913.58
"857",2011,"Balears, Illes","male","10th_percentile",10731.96
"858",2010,"Balears, Illes","male","10th_percentile",11181.12
"859",2009,"Balears, Illes","male","10th_percentile",11788.86
"860",2008,"Balears, Illes","male","10th_percentile",11651.31
"861",2017,"Balears, Illes","male","lower_quartile",16038.48
"862",2016,"Balears, Illes","male","lower_quartile",15423.91
"863",2015,"Balears, Illes","male","lower_quartile",15852
"864",2014,"Balears, Illes","male","lower_quartile",16179.71
"865",2013,"Balears, Illes","male","lower_quartile",15100.5
"866",2012,"Balears, Illes","male","lower_quartile",15083.38
"867",2011,"Balears, Illes","male","lower_quartile",15082.52
"868",2010,"Balears, Illes","male","lower_quartile",15292.65
"869",2009,"Balears, Illes","male","lower_quartile",15148.63
"870",2008,"Balears, Illes","male","lower_quartile",14732.9
"871",2017,"Balears, Illes","male","median",20252.93
"872",2016,"Balears, Illes","male","median",20106.69
"873",2015,"Balears, Illes","male","median",19994.15
"874",2014,"Balears, Illes","male","median",20330.19
"875",2013,"Balears, Illes","male","median",19295
"876",2012,"Balears, Illes","male","median",19510.2
"877",2011,"Balears, Illes","male","median",19921.2
"878",2010,"Balears, Illes","male","median",19609.49
"879",2009,"Balears, Illes","male","median",18869.73
"880",2008,"Balears, Illes","male","median",18199.91
"881",2017,"Balears, Illes","male","upper_quartile",26899.07
"882",2016,"Balears, Illes","male","upper_quartile",26878.5
"883",2015,"Balears, Illes","male","upper_quartile",26872.55
"884",2014,"Balears, Illes","male","upper_quartile",27721.44
"885",2013,"Balears, Illes","male","upper_quartile",26980.65
"886",2012,"Balears, Illes","male","upper_quartile",27222.86
"887",2011,"Balears, Illes","male","upper_quartile",27597.85
"888",2010,"Balears, Illes","male","upper_quartile",27463.27
"889",2009,"Balears, Illes","male","upper_quartile",26518.22
"890",2008,"Balears, Illes","male","upper_quartile",25004.38
"891",2017,"Balears, Illes","male","90th_percentile",40246.05
"892",2016,"Balears, Illes","male","90th_percentile",39569.8
"893",2015,"Balears, Illes","male","90th_percentile",39014.67
"894",2014,"Balears, Illes","male","90th_percentile",38741.65
"895",2013,"Balears, Illes","male","90th_percentile",38056.3
"896",2012,"Balears, Illes","male","90th_percentile",38939.59
"897",2011,"Balears, Illes","male","90th_percentile",39822.29
"898",2010,"Balears, Illes","male","90th_percentile",39468.03
"899",2009,"Balears, Illes","male","90th_percentile",39540.7
"900",2008,"Balears, Illes","male","90th_percentile",37901.52
"901",2017,"Canarias","both","mean",20185.33
"902",2016,"Canarias","both","mean",19749.03
"903",2015,"Canarias","both","mean",19856.61
"904",2014,"Canarias","both","mean",19436.48
"905",2013,"Canarias","both","mean",19167.93
"906",2012,"Canarias","both","mean",19277.62
"907",2011,"Canarias","both","mean",19516.96
"908",2010,"Canarias","both","mean",19315.56
"909",2009,"Canarias","both","mean",18926.36
"910",2008,"Canarias","both","mean",18466.99
"911",2017,"Canarias","both","10th_percentile",8504.67
"912",2016,"Canarias","both","10th_percentile",7840.41
"913",2015,"Canarias","both","10th_percentile",7283.78
"914",2014,"Canarias","both","10th_percentile",7381.98
"915",2013,"Canarias","both","10th_percentile",6623.23
"916",2012,"Canarias","both","10th_percentile",6772.32
"917",2011,"Canarias","both","10th_percentile",7529.64
"918",2010,"Canarias","both","10th_percentile",7913.84
"919",2009,"Canarias","both","10th_percentile",8186.66
"920",2008,"Canarias","both","10th_percentile",8591.6
"921",2017,"Canarias","both","lower_quartile",12491.9
"922",2016,"Canarias","both","lower_quartile",11892.67
"923",2015,"Canarias","both","lower_quartile",11609.2
"924",2014,"Canarias","both","lower_quartile",11550.49
"925",2013,"Canarias","both","lower_quartile",11127.36
"926",2012,"Canarias","both","lower_quartile",11137.92
"927",2011,"Canarias","both","lower_quartile",11577.26
"928",2010,"Canarias","both","lower_quartile",11643.18
"929",2009,"Canarias","both","lower_quartile",12144.18
"930",2008,"Canarias","both","lower_quartile",12028.43
"931",2017,"Canarias","both","median",17223.25
"932",2016,"Canarias","both","median",16833.69
"933",2015,"Canarias","both","median",17025.12
"934",2014,"Canarias","both","median",16509.48
"935",2013,"Canarias","both","median",16405.41
"936",2012,"Canarias","both","median",16584.6
"937",2011,"Canarias","both","median",16487.68
"938",2010,"Canarias","both","median",15897.41
"939",2009,"Canarias","both","median",16229.38
"940",2008,"Canarias","both","median",15725.28
"941",2017,"Canarias","both","upper_quartile",24044.2
"942",2016,"Canarias","both","upper_quartile",23721.56
"943",2015,"Canarias","both","upper_quartile",24326.91
"944",2014,"Canarias","both","upper_quartile",23315.06
"945",2013,"Canarias","both","upper_quartile",23306.4
"946",2012,"Canarias","both","upper_quartile",23365.74
"947",2011,"Canarias","both","upper_quartile",23691.54
"948",2010,"Canarias","both","upper_quartile",23592.06
"949",2009,"Canarias","both","upper_quartile",22715.64
"950",2008,"Canarias","both","upper_quartile",21693.6
"951",2017,"Canarias","both","90th_percentile",36164.07
"952",2016,"Canarias","both","90th_percentile",35740.4
"953",2015,"Canarias","both","90th_percentile",36148.33
"954",2014,"Canarias","both","90th_percentile",34565.14
"955",2013,"Canarias","both","90th_percentile",35000.88
"956",2012,"Canarias","both","90th_percentile",34458.15
"957",2011,"Canarias","both","90th_percentile",34847.21
"958",2010,"Canarias","both","90th_percentile",35000.04
"959",2009,"Canarias","both","90th_percentile",33618.92
"960",2008,"Canarias","both","90th_percentile",32004.86
"961",2017,"Canarias","female","mean",18917.73
"962",2016,"Canarias","female","mean",18211.44
"963",2015,"Canarias","female","mean",18279.76
"964",2014,"Canarias","female","mean",18201.48
"965",2013,"Canarias","female","mean",17619.86
"966",2012,"Canarias","female","mean",17498.71
"967",2011,"Canarias","female","mean",17824.94
"968",2010,"Canarias","female","mean",17601.79
"969",2009,"Canarias","female","mean",17528.33
"970",2008,"Canarias","female","mean",17131.85
"971",2017,"Canarias","female","10th_percentile",7589.96
"972",2016,"Canarias","female","10th_percentile",7098.48
"973",2015,"Canarias","female","10th_percentile",6408
"974",2014,"Canarias","female","10th_percentile",6517.55
"975",2013,"Canarias","female","10th_percentile",5676.33
"976",2012,"Canarias","female","10th_percentile",6010.22
"977",2011,"Canarias","female","10th_percentile",6427.08
"978",2010,"Canarias","female","10th_percentile",6585.89
"979",2009,"Canarias","female","10th_percentile",6453.04
"980",2008,"Canarias","female","10th_percentile",6474.48
"981",2017,"Canarias","female","lower_quartile",11207.17
"982",2016,"Canarias","female","lower_quartile",10528.48
"983",2015,"Canarias","female","lower_quartile",10039.23
"984",2014,"Canarias","female","lower_quartile",10559.02
"985",2013,"Canarias","female","lower_quartile",9658.85
"986",2012,"Canarias","female","lower_quartile",10039.97
"987",2011,"Canarias","female","lower_quartile",10433.7
"988",2010,"Canarias","female","lower_quartile",10263.08
"989",2009,"Canarias","female","lower_quartile",10595.76
"990",2008,"Canarias","female","lower_quartile",10303.63
"991",2017,"Canarias","female","median",16343.72
"992",2016,"Canarias","female","median",15780.72
"993",2015,"Canarias","female","median",15389.18
"994",2014,"Canarias","female","median",15355.31
"995",2013,"Canarias","female","median",14859.15
"996",2012,"Canarias","female","median",14680.25
"997",2011,"Canarias","female","median",14889.88
"998",2010,"Canarias","female","median",14370.7
"999",2009,"Canarias","female","median",15139.91
"1000",2008,"Canarias","female","median",14621.63
"1001",2017,"Canarias","female","upper_quartile",23162.2
"1002",2016,"Canarias","female","upper_quartile",22240.03
"1003",2015,"Canarias","female","upper_quartile",22957.35
"1004",2014,"Canarias","female","upper_quartile",22042.6
"1005",2013,"Canarias","female","upper_quartile",21999.98
"1006",2012,"Canarias","female","upper_quartile",21952.88
"1007",2011,"Canarias","female","upper_quartile",22485.06
"1008",2010,"Canarias","female","upper_quartile",21771.48
"1009",2009,"Canarias","female","upper_quartile",21483.88
"1010",2008,"Canarias","female","upper_quartile",20542.93
"1011",2017,"Canarias","female","90th_percentile",34659.38
"1012",2016,"Canarias","female","90th_percentile",33349.88
"1013",2015,"Canarias","female","90th_percentile",34047.74
"1014",2014,"Canarias","female","90th_percentile",33551.3
"1015",2013,"Canarias","female","90th_percentile",32766.41
"1016",2012,"Canarias","female","90th_percentile",32296.84
"1017",2011,"Canarias","female","90th_percentile",33140.42
"1018",2010,"Canarias","female","90th_percentile",32354.96
"1019",2009,"Canarias","female","90th_percentile",32101.27
"1020",2008,"Canarias","female","90th_percentile",31064.08
"1021",2017,"Canarias","male","mean",21291.66
"1022",2016,"Canarias","male","mean",21149.44
"1023",2015,"Canarias","male","mean",21336.72
"1024",2014,"Canarias","male","mean",20641.49
"1025",2013,"Canarias","male","mean",20678.43
"1026",2012,"Canarias","male","mean",21089.85
"1027",2011,"Canarias","male","mean",21090.86
"1028",2010,"Canarias","male","mean",20986.94
"1029",2009,"Canarias","male","mean",20109.24
"1030",2008,"Canarias","male","mean",19516.93
"1031",2017,"Canarias","male","10th_percentile",9897.61
"1032",2016,"Canarias","male","10th_percentile",9041.1
"1033",2015,"Canarias","male","10th_percentile",8538.67
"1034",2014,"Canarias","male","10th_percentile",9043.92
"1035",2013,"Canarias","male","10th_percentile",7877.31
"1036",2012,"Canarias","male","10th_percentile",8219.14
"1037",2011,"Canarias","male","10th_percentile",9125.77
"1038",2010,"Canarias","male","10th_percentile",9974.64
"1039",2009,"Canarias","male","10th_percentile",10206.2
"1040",2008,"Canarias","male","10th_percentile",10527.8
"1041",2017,"Canarias","male","lower_quartile",13652.33
"1042",2016,"Canarias","male","lower_quartile",13475.72
"1043",2015,"Canarias","male","lower_quartile",13578.97
"1044",2014,"Canarias","male","lower_quartile",12919.86
"1045",2013,"Canarias","male","lower_quartile",12880.62
"1046",2012,"Canarias","male","lower_quartile",13122.31
"1047",2011,"Canarias","male","lower_quartile",13123.3
"1048",2010,"Canarias","male","lower_quartile",13055.06
"1049",2009,"Canarias","male","lower_quartile",13590
"1050",2008,"Canarias","male","lower_quartile",13258.2
"1051",2017,"Canarias","male","median",17776.74
"1052",2016,"Canarias","male","median",17736.72
"1053",2015,"Canarias","male","median",18042.41
"1054",2014,"Canarias","male","median",17254.37
"1055",2013,"Canarias","male","median",17603.76
"1056",2012,"Canarias","male","median",17941.68
"1057",2011,"Canarias","male","median",17775.63
"1058",2010,"Canarias","male","median",16986.2
"1059",2009,"Canarias","male","median",16949.1
"1060",2008,"Canarias","male","median",16310.4
"1061",2017,"Canarias","male","upper_quartile",24621.85
"1062",2016,"Canarias","male","upper_quartile",24744.49
"1063",2015,"Canarias","male","upper_quartile",25292.49
"1064",2014,"Canarias","male","upper_quartile",24723.03
"1065",2013,"Canarias","male","upper_quartile",24267.24
"1066",2012,"Canarias","male","upper_quartile",25086.57
"1067",2011,"Canarias","male","upper_quartile",24850.91
"1068",2010,"Canarias","male","upper_quartile",25503.84
"1069",2009,"Canarias","male","upper_quartile",24200.4
"1070",2008,"Canarias","male","upper_quartile",22563.83
"1071",2017,"Canarias","male","90th_percentile",38279.08
"1072",2016,"Canarias","male","90th_percentile",37958.11
"1073",2015,"Canarias","male","90th_percentile",38151.86
"1074",2014,"Canarias","male","90th_percentile",35559.55
"1075",2013,"Canarias","male","90th_percentile",36825.01
"1076",2012,"Canarias","male","90th_percentile",36852.75
"1077",2011,"Canarias","male","90th_percentile",37146.34
"1078",2010,"Canarias","male","90th_percentile",37296.3
"1079",2009,"Canarias","male","90th_percentile",34919.47
"1080",2008,"Canarias","male","90th_percentile",32158.85
"1081",2017,"Cantabria","both","mean",22390.4
"1082",2016,"Cantabria","both","mean",22063.02
"1083",2015,"Cantabria","both","mean",21856.81
"1084",2014,"Cantabria","both","mean",21199.83
"1085",2013,"Cantabria","both","mean",20052.12
"1086",2012,"Cantabria","both","mean",20191.51
"1087",2011,"Cantabria","both","mean",20931.68
"1088",2010,"Cantabria","both","mean",21156.79
"1089",2009,"Cantabria","both","mean",20869.86
"1090",2008,"Cantabria","both","mean",20377.68
"1091",2017,"Cantabria","both","10th_percentile",8844.61
"1092",2016,"Cantabria","both","10th_percentile",8480.47
"1093",2015,"Cantabria","both","10th_percentile",8085.88
"1094",2014,"Cantabria","both","10th_percentile",7134.6
"1095",2013,"Cantabria","both","10th_percentile",7566.98
"1096",2012,"Cantabria","both","10th_percentile",7518.84
"1097",2011,"Cantabria","both","10th_percentile",8082.61
"1098",2010,"Cantabria","both","10th_percentile",8248.8
"1099",2009,"Cantabria","both","10th_percentile",8209.95
"1100",2008,"Cantabria","both","10th_percentile",8763.7
"1101",2017,"Cantabria","both","lower_quartile",13534.85
"1102",2016,"Cantabria","both","lower_quartile",12939.01
"1103",2015,"Cantabria","both","lower_quartile",13443.74
"1104",2014,"Cantabria","both","lower_quartile",12659.03
"1105",2013,"Cantabria","both","lower_quartile",12336.9
"1106",2012,"Cantabria","both","lower_quartile",12534.9
"1107",2011,"Cantabria","both","lower_quartile",13222.5
"1108",2010,"Cantabria","both","lower_quartile",13160.89
"1109",2009,"Cantabria","both","lower_quartile",12899.82
"1110",2008,"Cantabria","both","lower_quartile",13201.31
"1111",2017,"Cantabria","both","median",19092.46
"1112",2016,"Cantabria","both","median",18590.39
"1113",2015,"Cantabria","both","median",18861.3
"1114",2014,"Cantabria","both","median",18514.74
"1115",2013,"Cantabria","both","median",17632.21
"1116",2012,"Cantabria","both","median",17284.05
"1117",2011,"Cantabria","both","median",18023.05
"1118",2010,"Cantabria","both","median",18071.76
"1119",2009,"Cantabria","both","median",18002.19
"1120",2008,"Cantabria","both","median",17624.84
"1121",2017,"Cantabria","both","upper_quartile",27968.43
"1122",2016,"Cantabria","both","upper_quartile",27411.34
"1123",2015,"Cantabria","both","upper_quartile",27526.75
"1124",2014,"Cantabria","both","upper_quartile",26671.48
"1125",2013,"Cantabria","both","upper_quartile",25304.87
"1126",2012,"Cantabria","both","upper_quartile",24543.38
"1127",2011,"Cantabria","both","upper_quartile",26002.96
"1128",2010,"Cantabria","both","upper_quartile",26335.73
"1129",2009,"Cantabria","both","upper_quartile",26163.6
"1130",2008,"Cantabria","both","upper_quartile",25032.66
"1131",2017,"Cantabria","both","90th_percentile",40839
"1132",2016,"Cantabria","both","90th_percentile",39657.6
"1133",2015,"Cantabria","both","90th_percentile",38476.91
"1134",2014,"Cantabria","both","90th_percentile",38592.37
"1135",2013,"Cantabria","both","90th_percentile",35467.68
"1136",2012,"Cantabria","both","90th_percentile",36539.97
"1137",2011,"Cantabria","both","90th_percentile",36713.48
"1138",2010,"Cantabria","both","90th_percentile",37152.52
"1139",2009,"Cantabria","both","90th_percentile",37183.58
"1140",2008,"Cantabria","both","90th_percentile",35322.22
"1141",2017,"Cantabria","female","mean",19012.2
"1142",2016,"Cantabria","female","mean",18216.84
"1143",2015,"Cantabria","female","mean",17955.79
"1144",2014,"Cantabria","female","mean",17668.55
"1145",2013,"Cantabria","female","mean",16542.34
"1146",2012,"Cantabria","female","mean",16771.99
"1147",2011,"Cantabria","female","mean",17606.84
"1148",2010,"Cantabria","female","mean",17887.59
"1149",2009,"Cantabria","female","mean",18210.65
"1150",2008,"Cantabria","female","mean",17460.14
"1151",2017,"Cantabria","female","10th_percentile",6760.35
"1152",2016,"Cantabria","female","10th_percentile",6844.44
"1153",2015,"Cantabria","female","10th_percentile",6649.48
"1154",2014,"Cantabria","female","10th_percentile",5702.94
"1155",2013,"Cantabria","female","10th_percentile",6678.85
"1156",2012,"Cantabria","female","10th_percentile",6771.84
"1157",2011,"Cantabria","female","10th_percentile",6801.05
"1158",2010,"Cantabria","female","10th_percentile",6336.93
"1159",2009,"Cantabria","female","10th_percentile",6776.26
"1160",2008,"Cantabria","female","10th_percentile",6683.02
"1161",2017,"Cantabria","female","lower_quartile",11223.96
"1162",2016,"Cantabria","female","lower_quartile",10567.96
"1163",2015,"Cantabria","female","lower_quartile",10632.86
"1164",2014,"Cantabria","female","lower_quartile",9768.74
"1165",2013,"Cantabria","female","lower_quartile",10177.32
"1166",2012,"Cantabria","female","lower_quartile",10015.6
"1167",2011,"Cantabria","female","lower_quartile",10672.94
"1168",2010,"Cantabria","female","lower_quartile",10578.72
"1169",2009,"Cantabria","female","lower_quartile",10343.01
"1170",2008,"Cantabria","female","lower_quartile",10465.79
"1171",2017,"Cantabria","female","median",15998.06
"1172",2016,"Cantabria","female","median",15414.19
"1173",2015,"Cantabria","female","median",15456
"1174",2014,"Cantabria","female","median",15060.5
"1175",2013,"Cantabria","female","median",14575.17
"1176",2012,"Cantabria","female","median",14449.44
"1177",2011,"Cantabria","female","median",14912.6
"1178",2010,"Cantabria","female","median",14813.15
"1179",2009,"Cantabria","female","median",14415.9
"1180",2008,"Cantabria","female","median",15029.34
"1181",2017,"Cantabria","female","upper_quartile",24158.18
"1182",2016,"Cantabria","female","upper_quartile",22639.07
"1183",2015,"Cantabria","female","upper_quartile",23529.66
"1184",2014,"Cantabria","female","upper_quartile",22529.78
"1185",2013,"Cantabria","female","upper_quartile",21069
"1186",2012,"Cantabria","female","upper_quartile",20123.96
"1187",2011,"Cantabria","female","upper_quartile",22160.81
"1188",2010,"Cantabria","female","upper_quartile",22075.96
"1189",2009,"Cantabria","female","upper_quartile",23159.33
"1190",2008,"Cantabria","female","upper_quartile",21810.64
"1191",2017,"Cantabria","female","90th_percentile",35932.08
"1192",2016,"Cantabria","female","90th_percentile",34673.91
"1193",2015,"Cantabria","female","90th_percentile",33824.31
"1194",2014,"Cantabria","female","90th_percentile",33564.39
"1195",2013,"Cantabria","female","90th_percentile",29778.35
"1196",2012,"Cantabria","female","90th_percentile",31881.72
"1197",2011,"Cantabria","female","90th_percentile",32478.64
"1198",2010,"Cantabria","female","90th_percentile",32448.03
"1199",2009,"Cantabria","female","90th_percentile",35207.22
"1200",2008,"Cantabria","female","90th_percentile",32464.19
"1201",2017,"Cantabria","male","mean",25249.94
"1202",2016,"Cantabria","male","mean",25210.05
"1203",2015,"Cantabria","male","mean",25259.83
"1204",2014,"Cantabria","male","mean",24685.21
"1205",2013,"Cantabria","male","mean",23224.6
"1206",2012,"Cantabria","male","mean",23309.9
"1207",2011,"Cantabria","male","mean",23793.64
"1208",2010,"Cantabria","male","mean",23924.51
"1209",2009,"Cantabria","male","mean",22933
"1210",2008,"Cantabria","male","mean",22539.72
"1211",2017,"Cantabria","male","10th_percentile",11479.99
"1212",2016,"Cantabria","male","10th_percentile",11740.28
"1213",2015,"Cantabria","male","10th_percentile",12093.27
"1214",2014,"Cantabria","male","10th_percentile",10412.64
"1215",2013,"Cantabria","male","10th_percentile",9759.36
"1216",2012,"Cantabria","male","10th_percentile",10548.83
"1217",2011,"Cantabria","male","10th_percentile",11625.38
"1218",2010,"Cantabria","male","10th_percentile",11300
"1219",2009,"Cantabria","male","10th_percentile",11921.93
"1220",2008,"Cantabria","male","10th_percentile",12312.93
"1221",2017,"Cantabria","male","lower_quartile",16044.22
"1222",2016,"Cantabria","male","lower_quartile",15808.24
"1223",2015,"Cantabria","male","lower_quartile",16354.9
"1224",2014,"Cantabria","male","lower_quartile",16262.4
"1225",2013,"Cantabria","male","lower_quartile",15461.31
"1226",2012,"Cantabria","male","lower_quartile",15300
"1227",2011,"Cantabria","male","lower_quartile",15623.16
"1228",2010,"Cantabria","male","lower_quartile",15973.91
"1229",2009,"Cantabria","male","lower_quartile",15767.6
"1230",2008,"Cantabria","male","lower_quartile",15546.39
"1231",2017,"Cantabria","male","median",21322.62
"1232",2016,"Cantabria","male","median",20692.84
"1233",2015,"Cantabria","male","median",21468.08
"1234",2014,"Cantabria","male","median",21015.31
"1235",2013,"Cantabria","male","median",20001.84
"1236",2012,"Cantabria","male","median",19685.54
"1237",2011,"Cantabria","male","median",20318.96
"1238",2010,"Cantabria","male","median",20491.2
"1239",2009,"Cantabria","male","median",20134.47
"1240",2008,"Cantabria","male","median",19401.56
"1241",2017,"Cantabria","male","upper_quartile",31213.07
"1242",2016,"Cantabria","male","upper_quartile",31466.18
"1243",2015,"Cantabria","male","upper_quartile",30497.66
"1244",2014,"Cantabria","male","upper_quartile",31157.85
"1245",2013,"Cantabria","male","upper_quartile",29100.86
"1246",2012,"Cantabria","male","upper_quartile",27716.35
"1247",2011,"Cantabria","male","upper_quartile",28691.5
"1248",2010,"Cantabria","male","upper_quartile",29034.92
"1249",2009,"Cantabria","male","upper_quartile",27898.78
"1250",2008,"Cantabria","male","upper_quartile",26679.56
"1251",2017,"Cantabria","male","90th_percentile",44256.28
"1252",2016,"Cantabria","male","90th_percentile",43704
"1253",2015,"Cantabria","male","90th_percentile",42790.82
"1254",2014,"Cantabria","male","90th_percentile",43105.69
"1255",2013,"Cantabria","male","90th_percentile",40146.48
"1256",2012,"Cantabria","male","90th_percentile",39150
"1257",2011,"Cantabria","male","90th_percentile",39317.07
"1258",2010,"Cantabria","male","90th_percentile",40639.73
"1259",2009,"Cantabria","male","90th_percentile",37939.73
"1260",2008,"Cantabria","male","90th_percentile",36889.2
"1261",2017,"Castilla y León","both","mean",21846.88
"1262",2016,"Castilla y León","both","mean",21551.57
"1263",2015,"Castilla y León","both","mean",21296.1
"1264",2014,"Castilla y León","both","mean",20524.83
"1265",2013,"Castilla y León","both","mean",20440.56
"1266",2012,"Castilla y León","both","mean",20569.14
"1267",2011,"Castilla y León","both","mean",21029.37
"1268",2010,"Castilla y León","both","mean",20960.87
"1269",2009,"Castilla y León","both","mean",21037.13
"1270",2008,"Castilla y León","both","mean",20218.21
"1271",2017,"Castilla y León","both","10th_percentile",8450.96
"1272",2016,"Castilla y León","both","10th_percentile",8070.71
"1273",2015,"Castilla y León","both","10th_percentile",7992.37
"1274",2014,"Castilla y León","both","10th_percentile",7293.62
"1275",2013,"Castilla y León","both","10th_percentile",6898.27
"1276",2012,"Castilla y León","both","10th_percentile",6960.99
"1277",2011,"Castilla y León","both","10th_percentile",7779.75
"1278",2010,"Castilla y León","both","10th_percentile",7430.51
"1279",2009,"Castilla y León","both","10th_percentile",8736
"1280",2008,"Castilla y León","both","10th_percentile",8878.06
"1281",2017,"Castilla y León","both","lower_quartile",13426.68
"1282",2016,"Castilla y León","both","lower_quartile",13301.51
"1283",2015,"Castilla y León","both","lower_quartile",13117.8
"1284",2014,"Castilla y León","both","lower_quartile",12826.83
"1285",2013,"Castilla y León","both","lower_quartile",12370.71
"1286",2012,"Castilla y León","both","lower_quartile",12679.08
"1287",2011,"Castilla y León","both","lower_quartile",13282.54
"1288",2010,"Castilla y León","both","lower_quartile",12848.71
"1289",2009,"Castilla y León","both","lower_quartile",13087.83
"1290",2008,"Castilla y León","both","lower_quartile",12828.48
"1291",2017,"Castilla y León","both","median",18672.47
"1292",2016,"Castilla y León","both","median",18594.84
"1293",2015,"Castilla y León","both","median",18381.52
"1294",2014,"Castilla y León","both","median",17687.69
"1295",2013,"Castilla y León","both","median",17557.96
"1296",2012,"Castilla y León","both","median",17465.56
"1297",2011,"Castilla y León","both","median",17971.26
"1298",2010,"Castilla y León","both","median",17669.77
"1299",2009,"Castilla y León","both","median",17577.2
"1300",2008,"Castilla y León","both","median",17246.99
"1301",2017,"Castilla y León","both","upper_quartile",27329.11
"1302",2016,"Castilla y León","both","upper_quartile",26885.14
"1303",2015,"Castilla y León","both","upper_quartile",26642.59
"1304",2014,"Castilla y León","both","upper_quartile",25454.21
"1305",2013,"Castilla y León","both","upper_quartile",25707.27
"1306",2012,"Castilla y León","both","upper_quartile",25576.57
"1307",2011,"Castilla y León","both","upper_quartile",26353.94
"1308",2010,"Castilla y León","both","upper_quartile",25971.3
"1309",2009,"Castilla y León","both","upper_quartile",25778.46
"1310",2008,"Castilla y León","both","upper_quartile",24759.69
"1311",2017,"Castilla y León","both","90th_percentile",38408.41
"1312",2016,"Castilla y León","both","90th_percentile",38498.41
"1313",2015,"Castilla y León","both","90th_percentile",37758.8
"1314",2014,"Castilla y León","both","90th_percentile",36260.53
"1315",2013,"Castilla y León","both","90th_percentile",36672.65
"1316",2012,"Castilla y León","both","90th_percentile",36245.68
"1317",2011,"Castilla y León","both","90th_percentile",36889.73
"1318",2010,"Castilla y León","both","90th_percentile",37418.49
"1319",2009,"Castilla y León","both","90th_percentile",37155.42
"1320",2008,"Castilla y León","both","90th_percentile",34896.49
"1321",2017,"Castilla y León","female","mean",18796.93
"1322",2016,"Castilla y León","female","mean",18662.42
"1323",2015,"Castilla y León","female","mean",18523.74
"1324",2014,"Castilla y León","female","mean",17682.88
"1325",2013,"Castilla y León","female","mean",17429.41
"1326",2012,"Castilla y León","female","mean",17552.07
"1327",2011,"Castilla y León","female","mean",18193.91
"1328",2010,"Castilla y León","female","mean",17683.88
"1329",2009,"Castilla y León","female","mean",18249.87
"1330",2008,"Castilla y León","female","mean",17573.56
"1331",2017,"Castilla y León","female","10th_percentile",7108.18
"1332",2016,"Castilla y León","female","10th_percentile",6707.29
"1333",2015,"Castilla y León","female","10th_percentile",6793.86
